topic,word,score
0,pick,0.000668264
0,1974,0.00066379
0,return,0.00066379
0,fifa,0.00065857
0,amateur,0.00065335
0,angeles,0.000651858
0,1978,0.000649621
0,29,0.000646638
0,28,0.000645146
0,philadelphia,0.000642909
0,batting,0.000642163
0,kansas,0.00063918
0,premiership,0.000638435
0,announced,0.00063396
0,31,0.000630977
0,california,0.000629486
0,mlb,0.00062874
0,27,0.00062352
0,called,0.000619791
0,rovers,0.000618299
0,1977,0.000616808
0,1976,0.000616808
0,promotion,0.000616808
0,ten,0.000615316
0,english,0.000613079
0,signing,0.000613079
0,cardinals,0.000607859
0,allamerican,0.000604876
0,florida,0.000601893
0,spell,0.00059891
0,title,0.00059891
0,indians,0.000597418
0,managed,0.000595181
0,1975,0.000594435
0,diego,0.00059369
0,uefa,0.000591452
0,retiring,0.000590707
0,stadium,0.000589215
0,finals,0.000587724
0,consecutive,0.000586978
0,mets,0.000583249
0,half,0.000580266
0,union,0.000577283
0,1971,0.000575792
0,1970,0.000575792
0,mens,0.0005743
0,lions,0.0005743
0,inducted,0.000573555
0,blue,0.000572809
0,grand,0.000571317
0,canadian,0.000569826
0,deal,0.000567589
0,1969,0.000566097
0,mark,0.000563114
0,trophy,0.000560877
0,place,0.00055864
0,houston,0.000557894
0,1968,0.000556402
0,western,0.000554911
0,1973,0.000554165
0,full,0.000552674
0,alltime,0.000551928
0,move,0.000550436
0,minnesota,0.00054447
0,assists,0.000542233
0,1972,0.000542233
0,moving,0.000540742
0,bay,0.000540742
0,role,0.000536267
0,selection,0.00053403
0,white,0.00053403
0,join,0.000532538
0,fa,0.000531047
0,coast,0.000531047
0,cincinnati,0.00052881
0,cubs,0.000528064
0,park,0.000527318
0,1967,0.000524335
0,yankees,0.000520606
0,toronto,0.000518369
0,county,0.00051464
0,hitting,0.000512403
0,brother,0.000511657
0,champions,0.000510912
0,washington,0.000505691
0,pitching,0.000504946
0,training,0.0005042
0,phillies,0.000503454
0,system,0.000503454
0,michigan,0.000499725
0,baltimore,0.000499725
0,represented,0.000498234
0,pittsburgh,0.000498234
0,1966,0.000496742
0,atlanta,0.000495997
0,day,0.000495997
0,star,0.000492268
0,remained,0.000490031
0,transfer,0.000487794
0,threw,0.000485556
0,seattle,0.000485556
0,base,0.000484065
0,john,0.000483319
0,caps,0.000481828
0,triplea,0.00047959
0,pro,0.00047959
0,offensive,0.00047959
0,francisco,0.000478845
0,wins,0.000477353
0,success,0.000476607
0,braves,0.000476607
0,melbourne,0.000475862
0,reds,0.00047437
0,relief,0.00047437
0,loss,0.000470641
0,months,0.00046915
0,point,0.000466913
0,pirates,0.000466167
0,score,0.000465421
0,injuries,0.000465421
0,eventually,0.000464675
0,late,0.000463184
0,milwaukee,0.000460947
0,playoff,0.000454235
0,fourth,0.000454235
0,promoted,0.000451998
0,1963,0.000450506
0,playoffs,0.000448269
0,organization,0.000446777
0,1962,0.000446777
0,1964,0.000446032
0,losing,0.000445286
0,coaches,0.00044454
0,1965,0.000442303
0,early,0.000441557
0,list,0.000440811
0,scorer,0.000440066
0,east,0.000440066
0,quarterback,0.00043932
0,athletics,0.000437083
0,eagles,0.000435591
0,orioles,0.000434845
0,long,0.000434845
0,twins,0.0004341
0,dodgers,0.000432608
0,rbi,0.000430371
0,montreal,0.000429625
0,adelaide,0.000428879
0,manchester,0.000428879
0,returning,0.000425896
0,medal,0.000425896
0,goalkeeper,0.000425896
0,midfielder,0.000425151
0,entire,0.000424405
0,missed,0.000422913
0,single,0.000422168
0,percentage,0.000422168
0,mike,0.000420676
0,spring,0.000418439
0,set,0.000418439
0,righthanded,0.000417693
0,allowed,0.000413219
0,good,0.000413219
0,job,0.000412473
0,affiliate,0.000410982
0,port,0.00040949
0,bases,0.000407999
0,continued,0.000407253
0,knee,0.000402033
0,days,0.000402033
0,williams,0.000401287
0,vfl,0.000401287
0,tampa,0.000400541
0,defeat,0.000399795
0,young,0.000395321
0,jersey,0.000393084
0,1961,0.000393084
0,sign,0.000392338
0,suffered,0.000390846
0,arizona,0.000388609
0,carolina,0.000387863
0,angels,0.000387863
0,jones,0.000386372
0,posted,0.000385626
0,royals,0.00038488
0,short,0.000384135
0,campaign,0.000383389
0,helping,0.000377423
0,padres,0.000375931
0,roster,0.000375186
